Place:Contestant:      1:    2:    3:    4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25
1:Luca Manfè:          A-IN: A-IN: A-IN: IN:IN:WIN:WIN:IMM:LOW:LOW:IN:IN:WIN:IN:LOW:NPT:IN:IN:PT:IN:IN:WIN:WIN:IMM:IMM:HIGH:IN:WIN:HIGH:WIN:WIN:IMM:WIN:LOW:LOW:WINNER
2:Natasha Crnjac:      A-IN: A-IN: A-IN: WIN:IMM:WIN:IN:IN:LOW:WIN:IN:IN:NPT:IN:WIN:WIN:IN:IN:WIN:HIGH:WIN:WIN:HIGH:WIN:IMM:IN:WIN:WIN:IN:IN:IN:LOW:WIN:LOW:WIN:RUNNER-UP
3:Jessica Lysiak:      A-IN: A-IN: A-IN: IN:WIN:WIN:IN:LOW:WIN:IMM:IN:WIN:WIN:HIGH:IN:NPT:IN:WIN:WIN:IN:IN:LOW:HIGH:LOW:IMM:IN:LOW:WIN:HIGH:HIGH:WIN:IMM:LOW:WIN:ELIM:
4:Krissi Biasiello:    A-IN: A-IN: A-IN: HIGH:IN:PT:IN:IN:PT:IMM:IN:WIN:NPT:IN:LOW:IMM:IN:LOW:PT:HIGH:IN:NPT:IN:WIN:IMM:WIN:IMM:LOW:IN:IN:IN:LOW:ELIM:
5:James Nelson:        A-IN: A-IN: A-IN: IN:IN:NPT:HIGH:IN:WIN:IMM:IN:IN:LOW:IN:WIN:NPT:IN:LOW:WIN:IN:LOW:WIN:IN:IN:IMM:IN:IN:PT:WIN:IMM:IN:ELIM:
6:Brianna Kozior:      A-IN: A-IN: A-IN: IN:IN:WIN:IN:IN:PT:IMM:IN:IN:WIN:IN:IN:IMM:WIN:IMM:LOW:IN:WIN:ELIM::RET:IN:WIN:ELIM:
7:Jordan Roots:        A-IN: A-IN: A-IN: IN:WIN:NPT:IN:IN:NPT:IMM:HIGH:IN:PT:IN:IN:WIN:IN:IN:NPT:IN:LOW:PT:IN:IN:IMM:HIGH:ELIM:
8:Eddie Jackson:       A-IN: A-IN: A-IN: IN:IN:PT:IN:IN:WIN:IMM:WIN:IMM:WIN:IN:IN:WIN:HIGH:IN:WIN:WIN:IMM:WIN:IN:ELIM:
9:Bethy Rossos:        A-IN: A-IN: A-IN: IN:IN:WIN:IN:WIN:WIN:IMM:IN:IN:LOW:IN:IN:WIN:IN:IN:WIN:IN:ELIM:
10:Savannah Sturges:   A-IN: A-IN: A-IN: IN:IMM:LOW:IN:IN:WIN:IMM:IN:IN:WIN:IN:IN:WIN:HIGH:IN:ELIM:
11:Lynn Chyi:          A-IN: A-IN: A-IN: IN:IN:WIN:IN:IN:WIN:IMM:IN:LOW:WIN:WIN:IMM:LOW:IN:ELIM:
12:Jonathan Blanchard: A-IN: A-IN: A-IN: IN:IN:LOW:IN:IN:WIN:IMM:IN:LOW:NPT:HIGH:IN:ELIM:
13:Elizabeth Kirby:    A-IN: A-IN: A-IN: IN:IN:WIN:HIGH:IN:LOW:WIN:IN:LOW:WIN:IN:ELIM:
14:Albaya Cruz:        A-IN: A-IN: A-IN: HIGH:IN:WIN:IN:WIN:NPT:IMM:HIGH:IN:ELIM:
15:Howard Simpson:     A-IN: A-IN: A-IN: IN:LOW:NPT:LOW:IN:WIN:IMM:IN:ELIM:
16:Kathleen Prieto:    A-IN: A-IN: A-IN: IN:IN:PT:IN:LOW:LOW:ELIM:
17:Malcolm Green:      A-IN: A-IN: A-IN: IN:LOW:WIN:IN:ELIM:
18:Adriana Guillen:    A-IN: A-IN: A-IN: IN:IN:ELIM:
19:Sasha Foxx:         A-IN: A-IN: A-IN: IN:ELIM:
