Place:Contestant:     1:     2:     3:    4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20
1:Christine Hà:       A-IN:  A-IN:  A-IN: IN:IN:PT:HIGH:WIN:WIN:IN:IN:IN:IN:IN:IN:LOW:WIN:IN:LOW:IMM:HIGH:IN:WIN:HIGH:WIN:WIN:WIN:LOW:WINNER
2:Joshua Marks:       A-IN:  A-IN:  A-IN: IN:IN:WIN:IN:WIN:PT:IN:IN:IN:IN:IN:HIGH:IN:ELIM::RET:IN:LOW:LOW:WIN:LOW:LOW:HIGH:WIN:RUNNER-UP
3:Rebecca Reams:      A-IN:  A-IN:  A-IN: IN:IN:WIN:HIGH:IN:WIN:HIGH:LOW:WIN:WIN:IN:IN:IN:LOW:HIGH:IN:IMM:HIGH:WIN:WIN:IN:LOW:WIN:LOW:ELIM:
4:Franklin Mirando:   A-IN:  A-IN:  A-IN: IN:WIN:PT:IN:LOW:NPT:HIGH:IN:WIN:HIGH:IN:IN:WIN:WIN:WIN:IMM:IMM:IN:WIN:NPT:IN:HIGH:ELIM:
5:Mairym Carlo:       A-IN:  A-IN:  A-IN: IN:IN:WIN:IN:IN:NPT:IN:IN:PT:IN:WIN:IN:WIN:PT:IN:WIN:IMM:IN:IN:WIN:HIGH:ELIM:
6:David Martinez:     A-IN:  A-IN:  A-IN: IN:WIN:WIN:IN:IN:NPT:IN:IN:PT:IN:LOW:IN:LOW:WIN:HIGH:IN:IMM:WIN:LOW:ELIM:
7:Felix Fang:         A-IN:  A-IN:  A-IN: WIN:IMM:PT:IN:IN:WIN:IN:LOW:IN:IN:IN:WIN:IN:NPT:IN:WIN:IMM:IN:ELIM:
8:Stacey Amagrande:   A-IN:  A-IN:  A-IN: IN:IN:NPT:IN:IN:WIN:IN:WIN:WIN:IN:IN:HIGH:IN:WIN:IN:ELIM:
9:Tali Clavijo:       A-IN:  A-IN:  A-IN: IN:LOW:PT:IN:LOW:LOW:IN:IN:WIN:IN:IN:IN:ELIM:
10:Michael Hill:      A-IN:  A-IN:  A-IN: IN:IN:WIN:IN:LOW:WIN:IN:IN:IN:HIGH:ELIM:
11:Tanya Noble:       A-IN:  A-IN:  A-IN: IN: IN:LOW:IN:IN:WIN:WIN:IMM:LOW:IN:ELIM:
12:Anna Rossi:        A-IN:  A-IN:  A-IN: IN:IN:WIN:IN:IN:PT:IN:IN:ELIM:
13:Scott Little:      A-IN:  A-IN:  A-IN: LOW:IN:LOW:IN:IN:WIN:IN:ELIM:
14:Ryan Umane:        A-IN:  A-IN:  A-IN: LOW:IN:WIN:WIN:IMM:ELIM:
15:Helene Leeds:      A-IN:  A-IN:  A-IN: IN:LOW:WIN:IN:ELIM:
16:Michael Chen:      A-IN:  A-IN:  A-IN: IN:IN:ELIM:
17:David Mack:        A-IN:  A-IN:  A-IN: IN:ELIM:
18:Samantha De Silva: A-IN:  A-IN:  A-IN: ELIM:
